ステップ	タイムコード	項目狙い	書き起こし
ステップ6-2	9:30 - 〜	ボディコピー作成の型の習得 - 手順5	みたいなとこですね。で、faceboo広告のイメージっていうのを、まずちょっと知っといて欲しいんですけども、facebook広告ってバナー広告とは違うんですよ。バナー広告って、ま、よく出てくる広告は、画像がもうメインですよね。画像で全部引っ張ってこないといけない。長い文章は読まれないっていうのが、バナー広告なんですけど、facebook広告っていうのは、長い文章では読まれるんですよね。ま、画像がメインじゃないっていうところ、大事なのはクリエイティブになってくるので、ま、どういった文章、どういった内容、どういった興味づけをしていくか、雑誌に近い広告っていうのはイメージで、考えていただければと思います。で、バナー広告は、画像が全て。えー、フェイスブック広告は、クリエイティブが大事というところです。まずはですね、そういった形で、ボディコピー、間の法則で、えっとー、まー、そういった構成で作っていくというところと、ま、長文とかっていうのは、もう気にせずに作っていってもらって、え、しっかりと読まれる広告媒体なんだなというところで、まず作っていただければと思います。では、次はですね、えっとー、ま、そのボディを書くとなっても、どういったボディの書き方があるのかっていうのも多分あると思うので、ま、成功、している広告、よくある広告、成功している広告のボディの21型というものを、次ですね、ご紹介させていただきます。
ステップ6-3	0:00 - 9:21	ボディコピーの具体例と実践 - 全体像	えー、ではですね、ステップ六、ボディ6-3。成功広告ボディの21型ということで、まー、ここではですね、よくその使われている広告のボディですね、ボディコピーの方で、ま、大体こういう決まりというか、こういう書き方をしてるなっていうものがあるので、ま、それを大体21型、えー、用意したので、そちらを解説していきます。で、えっと、ま、21型っていうとこなんですけれども、その、特に、えー、じゃあ、どっかの広告を引っ張ってこれるかっていうと、別にそういうわけではないので、まー、ちょっとどういう形式のものなのかっていうのを、それぞれ解説していきます。まず一つ目がですね、コンテンツ。で、コンテンツって、どういうものかっていうと、ま、お客様に、役立つコンテンツ、情報とかを、まー、上げているような広告っていうところで、えー、まー、ちょっとメルマガで、なんか、例えば、えっとー、お客様リスト、ま、ハウスリストへのメルマガとかで、えー、いい情報とか、えー、勉強になるような、ためになるようなものとかを、ま、配信してる内容とかあるとするじゃないですか。ま、そういったものを、そのまま広告にしてるってのはイメージです。で、このコンテンツっていうのは、えー、ま、よくダイレクト出版とかの方で、えー、出している広告はこういうものに近くて、まー、お客様がこの広告を見た時に、あの、本当にその広告を読んで、普通に勉強になったな、ためになったなと、いうので、まー、よく反応してくれてるんですね。なので、ダイレクト出版の広告とかは、そのコンテンツ広告とかは、もうヒットしてるものとかだと、千以上いいねがついたりとか、シェアをされていたりとか、っていうのもあったりします。で、このコンテンツ広告ですね、えっとー、難易度としては結構高いんですよ。難しいんですよ。ま、それはヒットするかしないかっていうところで、ヒットする広告をなかなか作るのが難しい。っていうのが、ま、一つやっぱりありますと。で、しかもストレートに直接、ま、売りをかけるような広告ではないので、どちらかというと、その、ま、アテンション、無意識の方達とか、まー、問題をちょっと認識してるインタレストの方達とか、ま、そういったところ向けに、勉強になるようなところとかから、実はちょっと興味持っていて、この内容をもっと勉強したかったら、こういうものはありますよ、みたいな、ま、持っていき方なんですよね。なので、ま、これをメインで作っていくっていうのは、またちょっと違うかなという形です。で、なんでダイレクト出版とかこれが多いのかっていうと、一つはブランディングでやってますね。ダイレクト出版の広告って、すごい勉強になるんだなっていうブランディングとかで、ま、たくさんやっぱ作ってるという話を聞いてまして、なので、それってすごいユーザーにとっても有益であり、いいことじゃないですか。で、そういうfacebookからしても、ユーザーがそれで反応してくれる広告っていうのは、ま、すごい価値のある広告、需要のある広告っていう見られ方をするんで、ま、お互いにウィンウィンですよねっていうところで、ま、なので、ブランディング戦略としては、こういったコンテンツというような方で、広告を出していくのは、一つありの戦略かなと思います。まー、ダイレクトさんがですね、やっているもので、例えば、スティーブジョブズに学ぶ集客のヒントとか、っていうような広告もあったりしました。で、それは、スティーブジョブズが話した名言を、そのまま持ってきてるんですよね。ななんでmacbookairっていうノートパソコンを、作ったのか、どういうこだわりを持って作ったのかとか、そういったところの、まージョブズが話していたこととかっていうのを、持ってきていて、で、それをマーケティングという面で見た時に、こういった視点ってすごい大事なんですよっていうような、ま、勉強になるような内容を載せていたりします。だから、これの広告を作るっていうのは、結構、ま、いろいろとリサーチも必要ですし、いろんなことを調べて、ま、作んないといけない、勉強になるような記事っていうのを書かないといけないので、まー、その面、難易度としてはちょっと高いかなとは思いますが、えー、ヒットするような広告があれば、まー、お客様に、いい価値を与えられるような広告っていうのができるのかなと思います。でまーそういったところで一つ、コンテンツというような広告があります。じゃ、次はですね、ビリーフの否定ということで、ま、ビリーフって何かっていうと、えー、お客さんが、えー、信じていることですね。これはもう正しい常識だと思って、信じていることを、ま、否定するということが、お客様の、ま、注意を引き継げるような広告になっていきます。で、じゃあどういったものがいいのかって、例えば、そうですね、まー、例えば、えっとー、英語が話せるようになりたいと思ってる人とかが、まー英会話スクールに通うっていう選択肢を取ることが多いと思うんですけども、英会話スクールに通っても、英語が話せるわけではないと、いうところは、ビリーグの否定になってくるわけですよね。ま、多くの人は、英会話スクールに通う、通えば、英語が話せるようになると思っているけど、それは間違いですよとか、勘違いですよと、いうようなところが、ビーフの人になっていくわけです。で、なんでそれがしゃべれないのか、えー、そもそも、英会話スクールに通ったとしても、ま1日2時間英語を使うぐらいであって、それが週一回とかしか機会がないわけなので、ほとんどの、1週間での生活っていうのは、英語脳では考えることがないと、日本語脳でものを考えていると、なると、そもそも英語が使えるようになるわけではないと。で、もっと英語脳で考えるような時間が必要なので、本当に一番効果があるのは、その英語しか使わない環境に飛び込むことであるとかですよね。まー、そういったところの、お客様が、ほん、ま、これをやればこうなれんじゃないかと思ってることを、まー、否定をするというのが、このビリーグの否定になってくるということです。ただ、お客様を、真正面から否定してしまうと、それは反感を買うんですよ。あ、英会話か使うっても、英語なんか話せないですよっていうのを、まっすぐ言うと、それは不快感を与えてしまうと。だから、そういったところで、広告が、不快感を与えて、報告されてしまうと、その広告っていうのは、審査をしたりとか、あまりに報告が多いと、えっとー、その広告アカウント自体がバンされてしまうと、アカウントが停止してしまうと、いうこともあったりするので、まー、そこは、ストレートではなく、気付かせるような言い方とかで、例えば、えっとー、英語が話せるようになりたいと思ってる人が、えー、やってしまいがちな、間違った行動とはとか、ま、え、英会話教室に通っても、英語が話せない理由とはとか、秘密とはとか、ま、いろんな否定の仕方はあるかと思います。ま、そういったところでのリーフの否定というものを、やっていかないといけないということですね。なので、そのー、お客様が、そもそもどんなビリーフを持っているのかっていうところを、えー、しっかりとリサーチするっていうのが大事になってきます。ま、ビリーフ、お客様のビリーフをリサーチして、それの否定をしていくというところが、えー、一つ広告の作り方のポイントになります。えー、次はですね、と、比較、まー、二人の男というパターンのものがよくありまして、まー、コピーライティングとかで、オールストリートジャーナルのスワイプ元とかがよくあるんですけども、えー、ま、二人のよく似た男性とか、ま、ペルソナに当たる人たちを用意して、この人たちが、ま、その、商品、オファーとかを、え、実際やったことによって、どういった未来を迎えたのか、どう結果が変わったのかっていうところとかを表現していくような、やり方になります。ま、例、ちょっと簡単にどういう風に書いていったらいいのかっていうのをお話しすると、例えば、ま、二人の男性がいました、とか、ま、もっと具体的に、なんか二人の、えー、独立予定の会社員がいましたとか、そういうのでもいいですし、ま、二人の女性社長がいましたとか、ま、いろんなパターンですよね。で、始めていくと。ま、ご自身のペルソナになるところで、始めていきます。で、これここで大事なのは、ま、復はもうそこの二人の男がいましたっていう状況の設定なんですけど、コントラストをどう作っていくかなんですよ。ま、AさんとBさんっていう二人の方たちの、Aさんはすごい理想の状態とか、Bさんは最悪の状態とか、ま、そこをしっかりと比較するような、意味合いが必要なんですよね。例えば、ま、Aさんは年収400万円で、土日も仕事ばかり、家族と会う時間もありません。一方で、Bさんは年収1,200万円で、いつも時間に余裕があり、毎日家族と仲良く、夜ご飯を食べていますとか、で、ま、こう、今ちょっと年収っていうのは、ちょっと審査で落ちる可能性はあるんですけれど、ま、こんなイメージで、大局的な状態っていうのを出します。特に感情的なところとかでの、ま、違いとかを入れてあげると、よりお客様にも刺さると。で、ここでま、コントラストを示すんですけど、その後に、二人の共通点っていうのを出していくんですよ。こんだけ差がある二人に、実は共通点がありますということで、ま、謎が生まれてくるんですよね。なんで、同じ共通点を持ってるのに、今こんなに違うんですかと。例えば、ま、Aさん、Bさんの話をした後に、もう二人とも、同じ大学を卒業していましたとか、どちらも三年前に起業したのに、二人とも、知事の母親でしたとか、ま、そういった、同じ状況っていうのを設定しております。で、最後に好奇心、ピザというところで、じゃあ、その二人には一体何が違いをもたらしたのでしょうか?
ステップ6-3	9:21 - 11:42	ボディコピーの具体例と実践 - 手順1	それは、点点点とか、それは、ま、もう1個進んで、えっと、キーポイントになる言葉でもいいと思います。時間の使い方でしたとか、お金の使い方でしたとか、ま、そういったところで、二人の比較を進めていくっていうのが、このパターンですね。で、これは結構当たる、ことが、ま、多いと言いますか、王道パターンで、結構上手くいくのが多いので、まー、このパターンで作ってみるのは、結構いいんじゃないかなと思います。で、次ですね、えー、四つ目、検証ということで、検証って、まー、よく見ると思うんですよ。特にyooutubeとかで、何々を検証してみたとか、まー、facebook広告とかでも、動画広告っていうのがあるので、時々なんか見る気がしますよね。これを検証してみたとか。で、まー、検証って結構、本当に効果あんのかなって、やっぱ人は思っていて、顔を知りたい、見たいという人とか、あとやっぱ、そのレビューを見てから買いたいと思ってる人とかもいるわけなので、検証ってやっぱりすごい惹きつけるんですよ。で、まー、その全部が全部使えるわけではないと思います。その商品によってとか、もちろんあると思うんですけど、まー、美容関係とかは結構、多いイメージがありますね。あと、ダイエット用品とか、ですよね。なんか、あるサプリを飲んだら、すごく痩せたとかっていうような、あのー、広告ってよく流れてるじゃないですか。あれを本当に買って飲んでみて、1か月で本当にそんだけ痩せられたのか、検証してみたとか、そういうのって、よくあると思うんですよ。だから、まー、そういったところで、まー、お客様がですね、まー知りたいなと思っているものとかを、実際どうなのか試してみたと、いうような広告、動画とかで撮ってあげると、facebookでも、すごい引きつけることができるんじゃないかなと思います。で、まー実際に、本屋さんとかに行って、今流行ってる本、ま、平置きにされている本とかで、読んでみて、これを検証してみたというような、広告を作っても、全然いいかなと思うので、ま、今流行ってるものとか、今見られているものとか、ま、そういったところとかで、検証結果っていうのを、あの、撮ってみると。で、まー、文章で、もちろん、広告文書くことできると思うんですけど、こういった検証系に関しては、多分動画の方が相性がいいんだろうなというのは思いますので、まー、どういった構成で書いていくかっていうところで、動画で検証っていうのをやってみるのがいいんじゃないでしょうか?
ステップ6-3	11:42 - 13:23	ボディコピーの具体例と実践 - 手順2	えっと、ベネフィット、まー、これは結構単純でもう、あのー、お客様が得られる結果とか、っていうところになってくるので、それを手に入れたことによって、どんな未来が手に入るのかっていうところを、ま、いかに広告で書いてあげるかっていうところですね。なので、ま、得られるものをバッとストレートに述べるっていうのも、もちろん一つの方法だと思うんですけども、広告とかだと、結構その、ストーリーとかっていうのは、すごく、ま、お客様も興味を持ってくれて、読んでくれるものになってくるので、えー、ベネフィットの部分を、しっかりと、ま、ストーリー、その、手に入れたシーンを載せてあげたりとかして、もともとこんなだった、まー、例えば、元々もう満員電車に乗って、大変だった会社員の僕が、とあるノウハウの起業法を、え、チャレンジしたところ、今では、えー、好きな時間に好きな場所で、ま、海外にいながらでも仕事ができるようになりましたとかですね。ま、そういった、えー、得られたベネフィットっていうのを、ま、いかに表現してあげるかというのが、大事な要素かなというところになります。はい、で、次ですね、えー、クイズですね。これはまー、あのー、すごく使いやすいですよ。えっと、十分ぐらいで、ま、作ることができて、しかも反応が高い、広告にもなりやすいっていうのがあって、クイズはすごく使えます。三択問題とかで出してあげることが多いですね。なんか、例えば、集客の時に最も使ってはいけないツールは、一、何々、二、何々、三、何々とかっていう感じですね。で、ま、人は結構、選びたいんですよ。選択肢が与えられると、もう、これっていうのを選びたくなるっていうのがあって、で、逆に選択肢がない、何だと思いますか?
ステップ6-3	13:23 - 16:37	ボディコピーの具体例と実践 - 手順3	とかって聞かれてしまうと、もういろんなことを考えてしまう。で、そういう、facebookに、そもそも暇つぶしできてるのに考えさせられるなんていうことはさせられたくないわけですよね、人は。なので、ま、パッと選べるようなものが、えー、すごい反応としては取れると。で、ま、一回でもそのクイズの答えを考えると、もう答えを知られずにはいられなくなるんですよね。だから、クリックしちゃうんですよ。で、そういう意味でも、クイズ広告っていうのは、ま、すごく使いやすいような項目にはなっています。クイズとして出して、ま、答えですよね。えっと、それに関しては、ま、次lpに取る時に、答えが分かるようにはなっているっていうものとか、が、ま、一番望ましい状態ですよね。ま、ただ、lpに答えがない場合は、え、ちゃんとその先の商品とか資料とか、レポートの中に答えを言っている必要はありますし、ま、答えはこの先にありますよとかっていう繊維がないと、もし何も関係ない、ま、答え知りたいなと思って、次のページに行ったのに、えー、何も書いてない、何も手に入らないってなったら、それはもう不満でしかないということになってしまうので、ま、lpに記載をしたり、もしくはlpの中でも、実はその答えっていうのは、ま、それぞれの選択肢は実はこうダメだったん、そう、あの、実は不正解ですよと、なぜならこういう理由です。で、答えはこの先、資料を見てくださいとか、そういうような遷移をさせるさせるっていうのが、ま、結構大事になってきますと。で、クイズの作り方ですよね。その、ポイントは、どういう風にじゃあ作っていけばいいのかっていうところを、えー、お伝えしていくと、まー、一つは、さっきちょっとお話しした、間違いっていうものと組み合わせるのが、実はクイズすごく作りやすいことになります。ま、よくある間違いと、クイズを掛け合わせて使うってことですね。で、まー、あとは、やっぱり好奇心、その答えを知りたいっていうところとかもあるので、ま、好奇心をくすぐっていくような、クイズ広告っていうのも、ま、考えていけるといいんですけども、ま、簡単に作りやすいのは、よくある間違いと、クイズを掛け合わせるというのが、えー、やりやすいやり方になります。で、選ぶ選択肢も、できるだけシンプルにしましょう。ま、文章ではなく、単語、とかですよね。長いテキストだと、やっぱ考えてくれないっていうのと、あと、簡単に答えられなかったりする、まー、読むの、読んで理解するのに、そもそも時間がかかるものとかって、やっぱり人は選ばないので、えー、もうスルーしちゃうんですよ。で、やっぱりここのクイズの一番大事なのは、考えてもらう、えー、答えを答えを知りたいと、気になってもらうというところが大事なので、まー、できるだけ短い単語とか、え、コンパクトにまとめたもので、え、クイズを答えさせるということですね。で、あの、ま、もう1個ポイントとして、やってはいけないことはどれかっていうような、聞くようなクイズですよね。そっちのクイズの場合は、選択肢は全部お客様が正しいと思ってること、ビリーフの否定にするのが一番良くて、お客様のビリーフだと思われることを全部選択肢に入れとくと、結構効果は高いですね。例えばですね、一つの例として、ま、お客さんにアピールしていけないのはどれでしょうか?
ステップ6-3	16:37 - 18:52	ボディコピーの具体例と実践 - 手順4	1、安さ、二、品揃え、三、品質の高さとかって言われると、全部正しそうじゃないですか。ま、そういったイメージですよね。やってはいけないものはどれかっていうので、全部正しいなと思えるものとかで、引っ張ってあげるというのは、結構いいやり方になります。はい。なので、ま、クイズですね、えっと、もし作る際に、間違いが見つからないなと思えば、もうけい、検索してみるのが早いかなと思います。キーワードと、キーワードをかける迷信とか、キーワードかける間違いとかで、検索をしてみて、間違いになるようなネタとか、えー、探してきたりとかすると、クイズは作りやすいかなというところですね。で、クイズ広告ですね、ま、あの、すぐ作れるっていうところと、反応も取りやすいので、即効性は結構高いんですよ。ただ、飽きられる速さも速くて、ま持続性としてはそんなに長くない、低いっていうところがあるので、ま、そこだけ注意しながら、え、使っていただければと思います。で、次はですね、七つ目、ストーリーですね。えー、まー、もう人は昔からやっぱストーリーが大好きなんですよ。ま、絵本、小説、映画、ドラマ、なんでもやっぱりストーリーはあって、もうストーリーっていうのは、やっぱりコピーライティングでも、えー、必ずと言っていいほど、必要な項目だになってきますし、ストーリーがないとやっぱ共感が生まれないわけですよね。なので、ストーリーっていうところは、ま、広告でも、やっぱり、ある方が共感が生まれる、必ず強い部分になってきますし、あなたのお客様の、ま、状況とか、想像して、えー、どういったストーリーが受けるのかっていうのは、やっぱ考えていかないといけないと。で、本当に書くべきストーリーとしては、ま、お客様がいらっしゃるので、ま、お客様の声とか、お客様からヒアリングできたこととかを、やっぱりそのままストーリーとして使わせてもらえることっていうのが、一番やっぱり、ペルソナに響くストーリーになるわけですよね。同じような境遇で、同じような悩みを持っていて、同じような解決をしたいと思っている方に、一番響くのは、そういったストーリーになってきます。なので、あなたのお客様がいらっしゃるのであれば、え、その方からやっぱり話を聞いて、で、それをちょっとストーリーとして紹介してもいいですか?
ステップ6-3	18:52 - 21:33	ボディコピーの具体例と実践 - 手順5	というようなところを、ま、確認して、えー、こういう、ことで困っていて、で、こういった風に変わっていけた何々さんがっていうような話ができるっていうのは、もう一番、一番ですね、あの、いいストーリーかなと思います。で、まー、ちょっとですね、ストーリーの広告の例として、ま、どういうものがあるのかっていうところで、探してきたものをちょっと読ませていただきますね。もう本当に、小説とか、そっちに近いですよね、これははい、一例ですけれども、私は盲目です。お金を恵んでください、と書いたダンボールを隣に置いて、一人の老人が家の隅に座っていました。そう、彼は盲目のホームです。耳からの情報だけを頼りに、目の前を通り過ぎる人たちに助けを求めていた。しかし、忙しい街の人間たちは、彼に目を向けようともしない。たまに増えすぎてしまった小銭を減らそうとしたサラリーマンが、無動作に何枚かの小銭を彼の前に投げ捨てる。彼はそれを手探りで探して、自分の目の前に置いてある小銭入れに入れる。地面に散らばった小銭を探す彼の手はひどく汚れていた。ふと、その小銭入れに手が当たって、カンと音が鳴った。目が見えない彼でも数えられるほどのコインしか入ってないことが分かる。コツ、コツ、コツ、そんな時、ある女性が現れた。彼女はそのホームレスの目の前に立つと、横に開いてあるダンボールを手に取った。目が見えない彼は、その女性が何をしているのかわからない。必死に耳を澄ませて彼女の動きを探っていると、何やらダンボールに文字を書いているようだった。そして、数10秒後、彼女は何も言わずに立ち去っていった。目が見えない彼は気が気でなかった。何かいたずらをされたのかもしれない。嫌な予感がした。しかし、そんな不安は次の瞬間吹き飛んだというのも突然、大量のコインが彼の元に今まで全く見向きもされなかった彼の目の前に、次から次に小銭が恵まれていった。彼はもう何が何だか分からない。それでも、どんどん小銭が増えていく。あっという間に彼の小銭ではコインでいっぱいになった。人通りが少なくなる頃には一つの小銭入れでは収まりきられないほどの小銭が溜まっていた。コツ、コツ、コツ、また彼女が戻ってきた。足音、そして臭い。これは時の彼女に間違いないと確信した。そして、彼女はまた彼の前に立ち止まった。一体何をしてくれたんですか?
ステップ6-3	21:33 - 25:11	ボディコピーの具体例と実践 - 手順6	感謝の言葉よりも先に何があったのかを知りたかった。すると彼女は優しい声で彼に秘密を打ち明けた。同じ意味の言葉を書いただけよ。違う言葉を使ってね、彼女は大目のホームレスの人生を救った、たった一言の言葉。それは、点点点。伝え方が全てを変える。その言葉を見る前に一度考えてみて欲しい。あなたはこの話を聞いてどう思っただろうか。これは少し前にアメリカで話題になったショートムービーの一部。もしかしたら、あなたもこの動画を見たことがあるかもしれない。この動画のタイトルは言葉の力。言葉を変えるだけで、人々の行動はガラリと変わる。ビジネスで成功するのも、失敗するのも、言葉の影響は大きい。お客さんに物を買ってもらえるのも、買ってもらえないのも、言葉の力、ある言葉だとお客さんが集まって、別の言葉だと全く反応がない。なんてことはよくある話。全く同じ商品、サービスを売っているにも関わらず。社長である僕らとしては、お客さんを集めて、いいサービスを提供するために、この言葉の力は必須じゃないかと思う。言葉の力を使って、今よりもお客さんを集めたり、今よりも商品を売ったりするのはあなた次第。ただ、ビジネスで成功している人のほとんどはこの言葉の力を十分に理解してるということは、しておかないといけない。ps、もし、言葉の力でお客さんを集めたいと思うなら、その前にこのウェブセミナーを見てみて、ネットでお客さんを集める前に知っておくべきことを話しているので。ps。彼女はダンボールの言葉をこんな風に書き換えた。itsbeautifultheyand今日は素敵な1日でも、私はそれを見ることができません。まー、本当にストーリーですよね。なので、なんかもう小説の一部を読んでるような感覚で、広告がスラスラと読めてしまって、ま、続きが気になるなというところで、どんどん引き込まれながら、さらに、ま、大事なことっていうのは何なのかっていうのも、このストーリーの中で伝えているわけです。で、それをま、あなたのビジネスに活かせる、生かすなら、ctaコールトラクションとして、じゃあ、これを見てみてくださいねというところもしっかりと書いてあるというようなところで、ま、こういったストーリーの広告文というものも、ま、かなり力があるので、是非使ってみていただきたいものにあります。え、次はですね、事例というところで、ま、これはあのー、お客様に、ま、これも同じようにですね、話を聞いてきて、ま、それを紹介していくっていうような形なんですけども、ま、成功事例とか、失敗事例とか、そっちのニュアンスのイメージですね。で、ま、お客様にヒアリングをしていく中で、ま、それを使わせていただければっていうような形で、ま、まるまるさんが、えー、あなたの商品を使って、えー、上手くいった内容とかを、えっと、広告に載せていくというようなイメージですね。ま、そことは、どう上記描写していくかというところだと思うんですけれども、え、例えばですね、えー、半年前、まるまるさんは、全く集客できなかったのに、このタイミングでお会いした時には、えー、もう、集客には全く困ってないと、毎月、まるまるさんの商品を欲しいというお客さんが、勝手に問い合わせを送るというような状態になっていた。で、それはなぜなのかというと、ある。何々という商品を、えー、試みたからであった、その商品の秘密とは?
ステップ6-3	25:11 - 26:27	ボディコピーの具体例と実践 - 手順7	とかですよね。そういったところで、ま、成功体験とかをちょっと話しながらの、成功事例とかを出しながらの商品への興味づけを行うとか、大事なのは、ま、実際にあったことをやっぱり話さないといけないと。広告を作るために、何か成功事例とかを、え、想像で作ってしまうっていうのは、後々に、それ嘘なんじゃないかって言われた時に、え、どうしようもなくなってしまうと、まー、嘘ですとしか言いようがなくなってしまうっていうのは良くないので、ちゃんと成功事例、ま、ヒアリングをして、お客さんからの、えー、お客さんの事例を使わせてもらうという形で、ま、作り切る方がいいので、え、そういった形で、まー、ちゃんとヒアリングリサーチというのを行って、作れるようにしていきましょう。次はですね、えー、質問ということで、まー、あのー、これはですね、あの、エンゲージの部類に入ってくるんですけども、まー、お客様を巻き込んでいくというような報告になります。え、クイズと、またちょっと違う、クイズの方は、えっと、三つの選択肢とかを与えて、ま、答えさせる、あれも巻き込みにはなるんですけども、ま、あれはもう選択肢を与えて答えさせるというような形ですけども、こっちのQの質問の方は、えー、もう少し何かお客さんに考えさせるとか、ま、あなたはどう思いますか?
ステップ6-3	26:27 - 26:28	ボディコピーの具体例と実践 - 手順8	どう考えますか?
ステップ6-3	26:28 - 26:30	ボディコピーの具体例と実践 - 手順9	あなたはこれ答えが分かりますか?
ステップ6-3	26:30 - 26:58	ボディコピーの具体例と実践 - 手順10	とかっていうところで、何かその後に選択肢を与えるっていうわけじゃないんですよ。えー、ただ、えー、考えさせるっていうことなので、全く興味のないこととかに頭を使いたくないというのは、やっぱ心理としてあるので、ま、ちょっとその好奇心として、何なのかなと思わせるような内容を、えー、持って来ないと、お客様は考えてくれないというところはあります。例えば、なぜこういう結果になったか、あなたは分かりますか?
ステップ6-3	26:58 - 27:12	ボディコピーの具体例と実践 - 手順11	っていうような、まー、そういった形で聞くんですけれども、例えば、入社四年目の会社員が、10年上の上司の年収を。超えました。あなたはこれはなぜか分かりますか?
ステップ6-3	27:12 - 27:51	ボディコピーの具体例と実践 - 手順12	みたいなところとかですよね。なんで四年目が10年目の上司の年収を超えられたのかなとか、ま、そういった、ちょっとその、なんでだろうっていう興味を持つところ、次回予告、その先は続きはこちらみたいな感じの、持っていき方っていうのが、この質問という形ですよね。ま、最近、なんかこの質問から入る広告って、特にyoutubeとかでは多い気がしていて、まー、僕の方とかでもよく5分ぐらいの動画で、漫画動画みたいなもので流れるものとかで、なんか、取り柄もない、ただの平社員のデブ社員だった僕が、なぜビジョンをゲットできたのかとか、そういう、あなたは分かりますか?
ステップ6-3	27:51 - 29:14	ボディコピーの具体例と実践 - 手順13	みたいなとかもあったりするわけじゃないですか。ま、そういったところで、何でだろうって考えさせたりとか、興味を持って、引っ張ってくるっていうようなのが、この質問っていうようなイメージになります。で、次はですね、えー、命令ということで、まー、あのー、見たことあるかもしれないですけど、何々するのはやめなさいとか、今すぐ辞めましょうとか、なんか、そういった、ちょっと上から目線のものですね。で、ま、これに関しては、その、受けがいいかどうかっていうと、ま、ちょっとその、激役な感じなので、ま、あの、買う人は買うっていうような感じですよね。反応する人はするけれど、ま、その上から目線な分、嫌われる可能性もあるっていうところがあるので、ま、何か気をつけて使わないとっていうのはちょっとあります。ま、刺激を与えるっていう面では、使い方はいいかもしれないですけれど、どんな印象を与えてしまうのかとかっていうのは、ちょっと考えながら使っていくっていうのが、大事なのかなと。で、ただ、ま、中身でですね、その、何々するのはやめなさい、とかっていう中身に関しては、もう完全ビリーフの否定ですね。お客様の方で常識だと思ってること、正しいと思っていることを、今すぐそれをやめなさいと。例えば、集客で上手くいってないのであれば、今すぐ毎日snsの発信をやめなさいとか、集客するんだったら、毎日snsを発信した方がいいんじゃないの?
