Chapter-Page,Template,Prompt
23,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section: 13.2 Why it needs to be solved  **[Visual Direction]** Panel 1: David [Ref: REF_IMG_3] points to a specific line of code on the screen. Panel 2: Alex [Ref: REF_IMG_1] imagines a user getting an angry error message. Panel 3: David smiles, explaining the peace of mind that comes with fixing it.  **[Target Text]** Panel 1 David: """"Let's see specifically **what happens if you don't solve the 70% problem**."""" Panel 1 David: """"For example, when trying to read a non-existent file in `log.py`, **without error handling**, the program stops."""" Panel 1 David: """"Adding error handling lets you **handle errors safely**.""""  Panel 2 Alex: """"But **the code works, so do I need to complete the remaining 30%?**"""" Panel 2 David: """"The code works, but **when unexpected errors occur**, the program stops."""" Panel 2 David: """"Also, **insufficient security** makes it easier to attack. **Poor performance** makes it unusable for users."""" Panel 2 David: """"Without completing the remaining 30%, it becomes code **unusable in production**."""""
24,infographic_page,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** None  **[Heading]** - Section: Ignored vs Solved (Part 2)  **[Visual Direction]** Continuation of the comparison table from the previous page. Row 2: """"Security"""". Left: Open lock icon. Right: Shield icon. Row 3: """"Performance"""". Left: Loading spinner. Right: Lightning bolt.  **[Target Text]** Scenario: Security & Performance. Ignored: No measures -> Vulnerable to attacks & Slow. Solved: Measures in place -> Secure & High Performance."
25,infographic_page,ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** None  **[Heading]** - Section: Pillar 1: Error Handling  **[Visual Direction]** A detailed diagram focusing on Error Handling. Visual: A flowchart showing a file read operation.  Path A (No handling): Hits 'File Not Found' -> Explosion icon -> 'Crash'. Path B (With handling): Hits 'File Not Found' -> Shield icon (Try/Except) -> 'Graceful Message'.  **[Target Text]** What is Error Handling? Example: Reading a non-existent file. Without it: Program stops with an error. With it: Use `try-except` blocks to handle the error safely.
26,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section: Opening Scene  **[Visual Direction]** Panel 1: Alex [Ref: REF_IMG_1] is in his apartment, looking thoughtful. He is holding a coffee mug, staring at his laptop screen which shows a blank editor. Panel 2: A video call window pops up on the screen. David [Ref: REF_IMG_3] appears, waving. Alex looks surprised but happy. Panel 3: David is explaining with a gesture. Alex listens intently, looking inspired.  **[Target Text]** Panel 1 Alex: """"I've learned Cursor features, but I want to **create an actual project**. However, I don't know **where to start**..."""" Panel 1 Alex (thinking): """"`daily_log` was a small project, but I want to create a **larger project**. However, I don't know **how to start**.""""  Panel 2 David: """"Let's build a **ToDo app**. A ToDo app is a simple app that can **add, delete, and complete tasks**."""" Panel 2 David: """"You can **integrate** Cursor features learned so far."""" Panel 2 Alex: """"How do I build a ToDo app? I don't know **where to start**...""""  Panel 3 David: """"Let's build it **step by step** together."""" Panel 3 David: """"First, make a **project plan**, then use Cursor's **Chat** and **Composer** to build it **step by step**. We'll solve **common problems** together too."""""
27,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section: Opening Scene  **[Visual Direction]** Panel 1: Alex is sitting at his desk in his apartment, looking thoughtful. His laptop screen shows a completed ToDo app. He looks unsatisfied. Panel 2: A video call window opens on his screen. David appears, smiling and waving. Alex looks surprised but happy. Panel 3: Close up on David's face on the screen, looking encouraging. He holds up a finger as if making a point.  **[Target Text]** Panel 1 Alex: """"The ToDo app is complete, but I want to build a **more practical app**. However, I don't know **what to build**..."""" Panel 1 Alex (thinking): """"An app that gets weather information, or an app that **integrates with external APIs**... But **what is an API? How do I use it?**""""  Panel 2 David: """"Let's build an **API integration app**. An API is a mechanism to **integrate with external services**."""" Panel 2 David: """"For example, APIs to get weather information, APIs to get news, etc. You can build an API integration app using Cursor's **Chat** and **Composer**."""" Panel 2 Alex: """"How do I build an API integration app? **What is an API? How do I use it?**""""  Panel 3 David: """"Let's build it **step by step** together."""" Panel 3 David: """"First, understand **what an API is**, then use Cursor's **Chat** and **Composer** to build an API integration app **step by step**. We'll learn **error handling** and **tests** together too."""""
28,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  [Character Reference] - [Ref: REF_IMG_1] :: Alex - [Ref: REF_IMG_3] :: David  [Heading] - Section: Opening Scene  [Visual Direction] Alex's apartment at night. [Ref: REF_IMG_1] is sitting at his desk, looking at a screen filled with simple JSON files. He looks frustrated, scratching his head. A video call window pops up with [Ref: REF_IMG_3] smiling from a modern office.  [Target Text] Panel 1 Alex: """"The ToDo app and API integration app are complete, but I want to **persistently save data**. With JSON files, managing data becomes difficult as it grows..."""" Panel 1 Alex (thinking): """"I heard that using a database lets you **persistently save data**. But **what is a database? How do I use it?**""""  Panel 2 David: """"Let's build a **database app**. A database is a mechanism to **persistently save data**."""" Panel 2 David: """"Using SQLite, a lightweight database, makes it easy to build database apps. You can build database apps using Cursor's **Chat** and **Composer**."""" Panel 2 Alex: """"How do I build a database app? **What is a database? How do I use it?**""""  Panel 3 David: """"Let's build it **step by step** together."""" Panel 3 David: """"First, understand **what a database is**, then use Cursor's **Chat** and **Composer** to build a database app **step by step**. We'll learn **CRUD operations**, **security**, and **tests** together too."""""
29,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  [Character Reference] - [Ref: REF_IMG_1] :: Alex - [Ref: REF_IMG_3] :: David  [Heading] - Section: 16.1 Database Design  [Visual Direction] [Ref: REF_IMG_3] is using his hands to gesture a grid shape. [Ref: REF_IMG_1] is listening intently, leaning forward. On the screen between them, a simple spreadsheet-like grid appears with headers: ID, Name, Email.  [Target Text] Panel 1 David: """"Think of a database as a structured way to save data. It uses 'tables' which are like spreadsheets."""" Panel 1 Alex: """"So instead of a messy text file, I have columns like 'id', 'name', and 'email'?""""  Panel 2 David: """"Exactly! Using SQLite, we can manage these tables efficiently."""" Panel 2 David: """"Let's ask Cursor to help us design the structure."""""
30,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  [Character Reference] [Ref: REF_IMG_1] :: Alex  [Heading] - Section: Opening Scene  [Visual Direction] Alex [Ref: REF_IMG_1] is sitting at his modern desk in his San Francisco apartment, looking stressed at his MacBook. A speech bubble from a Slack-like app on screen says, 'Code styles are inconsistent.' Alex looks at his project files with a worried expression.   [Target Text] Panel 1 Alex is told by a team member: """"Code styles are inconsistent. Let's unify them."""" Panel 1 Alex (thinking): """"I created `.cursorrules`, but how can I make **all team members use the same rules**?""""  Panel 2 Alex is asked in a code review: """"What does this change do?"""" Panel 2 Alex (thinking): """"Explaining changes in code reviews is hard. Can I use Cursor to **automatically explain changes**?""""  Panel 3 David: """"In team development, it's recommended to **share `.cursorrules`** and **use Cursor in code reviews**."""" Panel 3 David: """"Since we created `.cursorrules` in Chapter 12, let's learn how to **share it with the team** and **use it in code reviews**."""" Panel 3 Alex: """"Please teach me how to use Cursor in team development."""""
31,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  [Character Reference] [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  [Heading] - Section: 17.1 Sharing .cursorrules with the Team  [Visual Direction] Split screen video call. David [Ref: REF_IMG_3] is in his home office, looking professional. Alex [Ref: REF_IMG_1] is listening intently. David is gesturing toward a file tree showing a .cursorrules file at the top level.  [Target Text] Panel 1 David: """"In team development, the secret is sharing your .cursorrules file through Git."""" Panel 1 David: """"If you commit it to the root directory, every team member who clones the repo gets the rules automatically!"""" Panel 1 Alex: """"That's so simple! I'll add it to the daily_log project right now."""""
32,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  [Character Reference] - [Ref: REF_IMG_1] :: Alex - [Ref: REF_IMG_2] :: Cursor - [Ref: REF_IMG_3] :: David  [Heading] - Section: Opening Scene  [Visual Direction] Alex's apartment at night. [Ref: REF_IMG_1] Alex is staring intensely at his monitor. The terminal shows a red error message. Panel 2: A close-up of the screen showing 'python log.py """"test""""' followed by a Traceback. Panel 3: [Ref: REF_IMG_3] David appears on a video call in a small window on the corner of the screen.  [Target Text] Panel 1 Alex runs `python log.py """"test""""` in the terminal. An error message appears. Panel 1 Alex (thinking): """"An error appeared... I learned how to handle errors in Chapter 9, but I want to know more about **common errors** and their solutions.""""  Panel 2 Alex runs `log.py`, but processing is slow. Panel 2 Alex (thinking): """"The code works, but **processing is slow**. It might be a performance problem. What should I do?""""  Panel 3 David: """"Common problems have **patterns**. Let's learn how to handle errors, performance issues, and security best practices by creating and solving problems in `daily_log`."""" Panel 3 Alex: """"Please teach me solutions to common problems."""""
33,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  [Character Reference] [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  [Heading] - Section: Opening Scene  [Visual Direction] Panel 1: Alex [Ref: REF_IMG_1] looks at the `daily_log` project with satisfaction. Panel 2: Alex thinks: """"I want to challenge new projects, but what should I do?"""" Panel 3: David [Ref: REF_IMG_3] appears via video call.  [Target Text] Panel 1 Alex (thinking): """"I learned how to use Cursor and created the `daily_log` project. But I **want to learn more**. How should I use official documentation and the community?""""  Panel 2 Alex (thinking): """"I learned Cursor basics with `daily_log`, but I don't know **next steps**. I want to challenge larger projects.""""  Panel 3 David: """"Congratulations! You've mastered Cursor basics. But **learning doesn't end here**."""" Panel 3 David: """"Read official documentation, engage with the community, challenge new projects, and **continue the learning journey**."""" Panel 3 Alex: """"Please teach me how to continue the learning journey."""""
,,
,,
,,
,,
,,
,,
,,
